downtime_id,equipment_id,anomaly_id,start_time,end_time,hours,affected_product_id,description
DT001,EQ001,AE001,2026-07-05 08:00:00,2026-07-08 18:00:00,82,PRD001,"DT001 linked to AE001 on EQ001 occurred because repeated bearing vibration alarms made continued operation unsafe; engineering inspected the failure history, repaired the local assembly, and supervised a trial batch; the line recovered its normal cycle time, and a preventive work order was scheduled for the next planned stop."
DT002,EQ001,AE002,2026-08-02 08:00:00,2026-08-03 20:00:00,36,PRD001,"DT002 linked to AE002 on EQ001 occurred because inspection after the temperature alert found deterioration beyond the temporary operating limit; the vendor and site technician performed calibration, alignment, and a documented restart check; the equipment returned to service and the delayed quantity was added to the next production window."
DT003,EQ005,AE005,2026-06-10 08:00:00,2026-06-10 12:00:00,4,PRD004,"DT003 linked to AE005 on EQ005 occurred because the routine alert signal persisted after the first reset and triggered a controlled shutdown; maintenance isolated the energy sources, replaced the affected component, and completed a no-load test; production resumed at a reduced rate with no additional quality deviation in the verification lot."
DT004,EQ008,AE008,2026-06-14 08:00:00,2026-06-14 14:00:00,6,PRD005,DT004 linked to AE008 on EQ008 occurred because the unresolved routine alert condition required the asset to be taken out of service; operations rerouted available work while technicians corrected the setting and verified interlocks; the affected product was held for inspection and released after the restart samples passed.
DT005,EQ003,AE003,2026-07-09 04:00:00,2026-07-09 06:00:00,2,PRD002,"DT005 linked to AE003 on EQ003 occurred because repeated sensor drift alarms made continued operation unsafe; engineering inspected the failure history, repaired the local assembly, and supervised a trial batch; the line recovered its normal cycle time, and a preventive work order was scheduled for the next planned stop."
DT0015,EQ012,AE0015,2024-10-16 10:10:00,2024-10-16 18:46:00,8.6,PRD018,"DT0015 linked to AE0015 on EQ012 occurred because inspection after the sealing pressure loss alert found deterioration beyond the temporary operating limit; the vendor and site technician performed calibration, alignment, and a documented restart check; the equipment returned to service and the delayed quantity was added to the next production window."
DT0017,EQ019,AE0017,2024-04-11 15:14:00,2024-04-12 12:08:00,20.9,PRD003,DT0017 linked to AE0017 on EQ019 occurred because the unresolved packing cycle time deviation condition required the asset to be taken out of service; operations rerouted available work while technicians corrected the setting and verified interlocks; the affected product was held for inspection and released after the restart samples passed.
DT0019,EQ025,AE0019,2026-12-19 04:12:00,2026-12-21 18:54:00,62.7,PRD006,"DT0019 linked to AE0019 on EQ025 occurred because inspection after the sealing pressure loss alert found deterioration beyond the temporary operating limit; the vendor and site technician performed calibration, alignment, and a documented restart check; the equipment returned to service and the delayed quantity was added to the next production window."
DT0023,EQ014,AE0023,2026-07-16 09:47:00,2026-07-17 20:11:00,34.4,PRD009,"DT0023 linked to AE0023 on EQ014 occurred because repeated conveyor bearing vibration alarms made continued operation unsafe; engineering inspected the failure history, repaired the local assembly, and supervised a trial batch; the line recovered its normal cycle time, and a preventive work order was scheduled for the next planned stop."
DT0026,EQ021,AE0026,2026-05-03 20:19:00,2026-05-03 22:37:00,2.3,PRD013,DT0026 linked to AE0026 on EQ021 occurred because the unresolved cold-chain temperature drift condition required the asset to be taken out of service; operations rerouted available work while technicians corrected the setting and verified interlocks; the affected product was held for inspection and released after the restart samples passed.
DT0030,EQ015,AE0030,2026-03-10 09:45:00,2026-03-12 12:39:00,50.9,PRD004,"DT0030 linked to AE0030 on EQ015 occurred because the sealing pressure loss signal persisted after the first reset and triggered a controlled shutdown; maintenance isolated the energy sources, replaced the affected component, and completed a no-load test; production resumed at a reduced rate with no additional quality deviation in the verification lot."
DT0031,EQ037,AE0031,2025-09-18 00:52:00,2025-09-20 04:46:00,51.9,PRD001,DT0031 linked to AE0031 on EQ037 occurred because the unresolved sealing pressure loss condition required the asset to be taken out of service; operations rerouted available work while technicians corrected the setting and verified interlocks; the affected product was held for inspection and released after the restart samples passed.
DT0032,EQ030,AE0032,2024-04-12 21:39:00,2024-04-15 02:57:00,53.3,PRD015,"DT0032 linked to AE0032 on EQ030 occurred because repeated cold-chain temperature drift alarms made continued operation unsafe; engineering inspected the failure history, repaired the local assembly, and supervised a trial batch; the line recovered its normal cycle time, and a preventive work order was scheduled for the next planned stop."
DT0039,EQ001,AE0039,2024-11-03 06:52:00,2024-11-05 17:58:00,59.1,PRD018,DT0039 linked to AE0039 on EQ001 occurred because the unresolved sealing pressure loss condition required the asset to be taken out of service; operations rerouted available work while technicians corrected the setting and verified interlocks; the affected product was held for inspection and released after the restart samples passed.
DT0040,EQ017,AE0040,2024-07-25 05:19:00,2024-07-26 22:19:00,41.0,PRD017,DT0040 linked to AE0040 on EQ017 occurred because the unresolved barcode sensor dropout condition required the asset to be taken out of service; operations rerouted available work while technicians corrected the setting and verified interlocks; the affected product was held for inspection and released after the restart samples passed.
DT0041,EQ001,AE0041,2025-11-15 14:14:00,2025-11-17 08:02:00,41.8,PRD006,"DT0041 linked to AE0041 on EQ001 occurred because repeated power instability alarms made continued operation unsafe; engineering inspected the failure history, repaired the local assembly, and supervised a trial batch; the line recovered its normal cycle time, and a preventive work order was scheduled for the next planned stop."
