ticket_id,customer_id,product_id,opened_at,closed_at,priority,category,status,subject,conversation_summary,sentiment
TKT000001,C054,PRD019,2025-01-17 19:15:00,2025-01-23 15:39:57,P4,missing_item,resolved,Item quality below expectation,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000002,C079,PRD015,2024-07-01 05:46:00,2024-07-06 00:11:45,P2,product_information,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000003,C016,PRD002,2025-10-08 15:20:00,2025-10-16 23:19:51,P3,product_quality,resolved,Package arrived damaged,Support confirmed product-use guidance resolved the concern and the customer closed the case.,urgent
TKT000004,C028,PRD011,2024-07-24 05:36:00,2024-08-01 09:46:25,P3,product_information,resolved,Package arrived damaged,Customer provided package photos; a replacement or refund was completed and accepted.,frustrated
TKT000005,C046,PRD008,2026-10-31 09:53:00,2026-11-07 21:14:58,P2,product_quality,resolved,Ingredient or product information request,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000006,C095,PRD015,2025-01-07 08:36:00,2025-01-08 20:32:17,P4,product_information,resolved,Wrong item received,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000007,C005,PRD017,2026-08-18 00:45:00,2026-08-25 23:59:44,P3,return_refund,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000008,C178,PRD020,2025-08-26 14:28:00,,P2,delivery,open,Item quality below expectation,The case remains open while store and fulfillment records are compared.,neutral
TKT000009,C090,PRD004,2026-08-26 03:05:00,2026-09-04 06:50:22,P1,product_quality,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000010,C068,PRD017,2025-06-15 23:33:00,,P2,product_quality,open,Refund status question,Support documented the issue and is checking replacement inventory in the customer region.,positive
TKT000011,C169,PRD009,2024-04-24 12:46:00,2024-04-29 04:26:48,P4,missing_item,resolved,Ingredient or product information request,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000012,C235,PRD004,2026-10-18 12:05:00,2026-10-26 13:06:01,P3,return_refund,resolved,Wrong item received,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000013,C168,PRD004,2026-08-11 03:50:00,2026-08-12 15:23:30,P2,product_quality,resolved,Wrong item received,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000014,C005,PRD018,2024-10-31 05:05:00,2024-11-02 06:45:52,P3,delivery,resolved,Wrong item received,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000015,C222,PRD015,2024-06-02 20:44:00,2024-06-12 15:44:48,P3,product_quality,resolved,Wrong item received,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,frustrated
TKT000016,C046,PRD007,2024-08-25 17:58:00,2024-09-03 10:33:38,P3,product_information,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000017,C193,PRD007,2025-05-06 12:07:00,2025-05-12 14:18:45,P4,return_refund,resolved,Ingredient or product information request,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000018,C132,PRD017,2026-07-21 13:34:00,2026-07-24 04:16:23,P2,billing,resolved,Ingredient or product information request,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000019,C183,PRD011,2025-10-24 21:52:00,2025-10-26 19:58:46,P4,delivery,resolved,Ingredient or product information request,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000020,C233,PRD005,2026-10-14 02:08:00,2026-10-23 10:26:56,P3,product_information,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000021,C076,PRD019,2026-04-30 05:40:00,2026-05-03 15:15:29,P4,missing_item,resolved,Package arrived damaged,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000022,C050,PRD006,2025-06-15 04:46:00,2025-06-23 22:52:57,P4,product_information,resolved,Wrong item received,Support confirmed product-use guidance resolved the concern and the customer closed the case.,urgent
TKT000023,C143,PRD015,2025-07-20 15:15:00,2025-07-25 21:04:01,P3,return_refund,resolved,Refund status question,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,frustrated
TKT000024,C201,PRD003,2026-11-07 18:21:00,2026-11-15 16:50:26,P4,delivery,resolved,Missing item or component,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000025,C230,PRD020,2024-12-20 12:08:00,2024-12-25 11:10:19,P2,missing_item,resolved,Item quality below expectation,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000026,C146,PRD020,2025-01-31 02:43:00,2025-01-31 06:26:58,P4,product_quality,resolved,Missing item or component,Support confirmed product-use guidance resolved the concern and the customer closed the case.,urgent
TKT000027,C008,PRD009,2026-01-28 07:01:00,2026-01-29 08:35:04,P4,product_information,resolved,Ingredient or product information request,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000028,C112,PRD003,2024-04-24 04:53:00,2024-04-29 03:19:56,P3,product_quality,resolved,Item quality below expectation,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
