purchase_order_id,supplier_id,order_date,expected_date,buyer_employee_id,status,currency,incoterm
PO000001,SUP020,2026-03-23,2026-04-27,EMP0047,received,USD,CIP
PO000002,SUP005,2026-07-15,2026-08-08,EMP0070,open,USD,DAP
PO000003,SUP020,2026-12-13,2027-01-17,EMP0078,received,USD,EXW
PO000004,SUP019,2026-07-05,2026-07-18,EMP0112,received,USD,CIP
PO000005,SUP029,2024-04-24,2024-04-29,EMP0082,received,USD,EXW
PO000006,SUP024,2026-04-22,2026-06-02,EMP0080,received,USD,DAP
PO000007,SUP038,2025-08-11,2025-09-06,EMP0080,open,USD,EXW
PO000008,SUP040,2026-03-28,2026-04-01,EMP0102,received,USD,FCA
PO000009,SUP004,2026-03-02,2026-04-13,EMP0080,received,USD,DAP
PO000010,SUP013,2025-12-14,2026-01-12,EMP0102,received,USD,FCA
PO000011,SUP001,2026-10-16,2026-11-22,EMP0047,received,USD,FCA
PO000012,SUP039,2025-05-20,2025-06-14,EMP0004,received,USD,DAP
PO000013,SUP030,2025-06-28,2025-07-05,EMP0078,received,USD,EXW
PO000014,SUP028,2025-03-26,2025-04-14,EMP0050,received,USD,DAP
PO000015,SUP007,2025-09-15,2025-10-11,EMP0078,open,USD,EXW
PO000016,SUP003,2024-06-15,2024-07-18,EMP0078,late,USD,EXW
PO000017,SUP002,2025-01-25,2025-02-28,EMP0047,received,USD,FCA
PO000018,SUP002,2024-04-03,2024-05-07,EMP0052,cancelled,USD,FCA
PO000019,SUP030,2026-11-17,2026-11-24,EMP0004,received,USD,CIP
PO000020,SUP026,2025-06-07,2025-07-08,EMP0102,received,USD,EXW
PO000021,SUP009,2024-06-28,2024-08-02,EMP0102,cancelled,USD,EXW
PO000022,SUP021,2025-11-19,2025-11-28,EMP0021,open,USD,FCA
PO000023,SUP031,2024-06-21,2024-07-27,EMP0050,received,USD,CIP
PO000024,SUP022,2025-07-16,2025-08-21,EMP0046,late,USD,CIP
PO000025,SUP027,2026-03-10,2026-04-19,EMP0082,received,USD,FCA
PO000026,SUP038,2025-07-17,2025-08-12,EMP0082,received,USD,DAP
PO000027,SUP005,2025-01-01,2025-01-25,EMP0032,received,USD,FCA
PO000028,SUP021,2024-04-13,2024-04-22,EMP0082,received,USD,EXW
PO000029,SUP030,2025-07-12,2025-07-19,EMP0052,late,USD,EXW
PO000030,SUP029,2026-03-11,2026-03-16,EMP0070,open,USD,FCA
PO000031,SUP003,2024-05-11,2024-06-13,EMP0050,received,USD,FCA
PO000032,SUP010,2026-01-08,2026-01-13,EMP0047,received,USD,DAP
PO000033,SUP014,2024-02-05,2024-03-17,EMP0032,open,USD,EXW
PO000034,SUP007,2024-01-10,2024-02-05,EMP0050,received,USD,EXW
PO000035,SUP015,2026-01-06,2026-02-12,EMP0046,received,USD,CIP
PO000036,SUP035,2026-05-17,2026-05-30,EMP0032,open,USD,EXW
PO000037,SUP023,2024-11-16,2024-11-24,EMP0047,received,USD,DAP
PO000038,SUP019,2026-07-11,2026-07-24,EMP0080,received,USD,DAP
PO000039,SUP037,2026-01-08,2026-02-15,EMP0032,received,USD,FCA
PO000040,SUP012,2024-02-23,2024-04-01,EMP0052,received,USD,EXW
PO000041,SUP002,2024-11-26,2024-12-30,EMP0047,received,USD,CIP
PO000042,SUP012,2025-06-17,2025-07-25,EMP0050,open,USD,EXW
PO000043,SUP030,2024-06-30,2024-07-07,EMP0046,received,USD,FCA
PO000044,SUP008,2024-05-14,2024-05-27,EMP0082,open,USD,FCA
PO000045,SUP022,2024-06-30,2024-08-05,EMP0046,received,USD,CIP
PO000046,SUP039,2024-09-18,2024-10-13,EMP0046,open,USD,DAP
PO000047,SUP032,2024-11-05,2024-11-11,EMP0032,late,USD,CIP
PO000048,SUP036,2025-04-10,2025-05-12,EMP0021,open,USD,FCA
PO000049,SUP030,2025-08-03,2025-08-10,EMP0102,received,USD,CIP
PO000050,SUP013,2025-05-01,2025-05-30,EMP0078,received,USD,EXW
PO000051,SUP022,2025-02-19,2025-03-27,EMP0052,open,USD,FCA
PO000052,SUP038,2026-10-31,2026-11-26,EMP0078,received,USD,FCA
PO000053,SUP004,2025-10-03,2025-11-14,EMP0046,late,USD,DAP
PO000054,SUP033,2024-12-02,2025-01-05,EMP0070,received,USD,FCA
PO000055,SUP032,2025-01-23,2025-01-29,EMP0102,received,USD,CIP
PO000056,SUP027,2025-11-21,2025-12-31,EMP0078,received,USD,DAP
PO000057,SUP027,2025-08-21,2025-09-30,EMP0046,late,USD,EXW
PO000058,SUP019,2026-10-10,2026-10-23,EMP0082,open,USD,CIP
PO000059,SUP015,2026-01-18,2026-02-24,EMP0112,open,USD,CIP
PO000060,SUP018,2026-03-02,2026-04-06,EMP0102,open,USD,FCA
PO000061,SUP015,2024-03-24,2024-04-30,EMP0082,received,USD,CIP
PO000062,SUP038,2026-05-02,2026-05-28,EMP0050,open,USD,CIP
PO000063,SUP022,2026-09-21,2026-10-27,EMP0047,received,USD,CIP
PO000064,SUP015,2026-07-13,2026-08-19,EMP0052,open,USD,FCA
PO000065,SUP009,2025-01-01,2025-02-05,EMP0004,received,USD,CIP
PO000066,SUP010,2026-02-07,2026-02-12,EMP0047,cancelled,USD,CIP
PO000067,SUP017,2024-01-03,2024-01-21,EMP0052,received,USD,EXW
PO000068,SUP040,2025-07-09,2025-07-13,EMP0078,received,USD,CIP
PO000069,SUP018,2026-02-18,2026-03-25,EMP0112,received,USD,EXW
PO000070,SUP004,2024-01-10,2024-02-21,EMP0050,received,USD,DAP
PO000071,SUP031,2026-08-07,2026-09-12,EMP0078,open,USD,CIP
PO000072,SUP014,2024-01-17,2024-02-27,EMP0070,open,USD,EXW
PO000073,SUP026,2025-08-22,2025-09-22,EMP0080,open,USD,FCA
PO000074,SUP030,2024-11-12,2024-11-19,EMP0078,received,USD,FCA
PO000075,SUP019,2026-03-02,2026-03-15,EMP0021,received,USD,EXW
PO000076,SUP021,2026-04-23,2026-05-02,EMP0021,received,USD,DAP
PO000077,SUP002,2024-08-11,2024-09-14,EMP0004,open,USD,EXW
PO000078,SUP008,2026-12-01,2026-12-14,EMP0080,open,USD,CIP
PO000079,SUP018,2025-10-07,2025-11-11,EMP0070,received,USD,CIP
PO000080,SUP011,2025-05-11,2025-05-15,EMP0052,received,USD,DAP
PO000081,SUP013,2025-12-03,2026-01-01,EMP0052,received,USD,CIP
PO000082,SUP011,2024-09-01,2024-09-05,EMP0082,received,USD,CIP
PO000083,SUP002,2024-04-13,2024-05-17,EMP0050,received,USD,EXW
PO000084,SUP028,2025-12-11,2025-12-30,EMP0070,late,USD,DAP
PO000085,SUP035,2026-12-22,2027-01-04,EMP0082,received,USD,DAP
PO000086,SUP038,2026-07-03,2026-07-29,EMP0112,received,USD,EXW
PO000087,SUP003,2026-10-12,2026-11-14,EMP0052,received,USD,CIP
PO000088,SUP018,2025-05-29,2025-07-03,EMP0070,received,USD,DAP
PO000089,SUP031,2026-01-18,2026-02-23,EMP0046,received,USD,EXW
PO000090,SUP016,2025-06-12,2025-07-03,EMP0046,received,USD,FCA
PO000091,SUP025,2025-08-27,2025-08-31,EMP0080,received,USD,FCA
PO000092,SUP040,2024-06-07,2024-06-11,EMP0102,received,USD,CIP
PO000093,SUP002,2025-04-07,2025-05-11,EMP0004,received,USD,CIP
PO000094,SUP004,2024-11-07,2024-12-19,EMP0078,received,USD,CIP
PO000095,SUP009,2025-01-01,2025-02-05,EMP0032,received,USD,EXW
PO000096,SUP017,2024-02-13,2024-03-02,EMP0004,received,USD,EXW
PO000097,SUP026,2026-11-18,2026-12-19,EMP0004,late,USD,FCA
PO000098,SUP020,2026-03-30,2026-05-04,EMP0021,received,USD,FCA
PO000099,SUP038,2025-11-29,2025-12-25,EMP0080,received,USD,FCA
PO000100,SUP021,2025-11-25,2025-12-04,EMP0080,received,USD,EXW
PO000101,SUP028,2024-03-02,2024-03-21,EMP0052,received,USD,EXW
