po_line_id,purchase_order_id,line_number,product_id,ordered_qty,received_qty,unit_cost,quality_status,line_note
POL000002-1,PO000002,1,PRD013,150,150,1.20,accepted,Routine replenishment
POL000002-2,PO000002,2,PRD008,50,50,1.31,accepted,Inspection certificate required
POL000004-1,PO000004,1,PRD017,400,400,5.07,accepted,Routine replenishment
POL000004-2,PO000004,2,PRD015,25,25,2.29,accepted,Expedite requested by planner
POL000006-1,PO000006,1,PRD013,250,200,1.69,conditional,Inspection certificate required
POL000006-2,PO000006,2,PRD017,1200,1200,4.86,accepted,Expedite requested by planner
POL000007-1,PO000007,1,PRD018,600,547,2.24,rejected,Expedite requested by planner
POL000007-2,PO000007,2,PRD001,250,250,2.13,rejected,Routine replenishment
POL000008-1,PO000008,1,PRD017,300,243,3.30,accepted,Expedite requested by planner
POL000008-2,PO000008,2,PRD009,1000,1000,1.13,accepted,Inspection certificate required
POL000009-1,PO000009,1,PRD010,125,125,0.96,accepted,Partial receipt allowed
POL000009-2,PO000009,2,PRD013,800,800,1.37,accepted,Routine replenishment
POL000010-1,PO000010,1,PRD015,150,150,2.26,accepted,Partial receipt allowed
POL000011-1,PO000011,1,PRD004,200,200,1.60,accepted,Partial receipt allowed
POL000012-1,PO000012,1,PRD003,150,136,0.54,accepted,Expedite requested by planner
POL000013-1,PO000013,1,PRD005,175,175,1.63,accepted,Expedite requested by planner
POL000013-2,PO000013,2,PRD020,600,600,4.21,rejected,Inspection certificate required
POL000015-1,PO000015,1,PRD016,500,423,4.41,accepted,Routine replenishment
POL000016-1,PO000016,1,PRD009,125,125,1.33,accepted,Routine replenishment
POL000016-2,PO000016,2,PRD010,250,250,0.57,accepted,Inspection certificate required
POL000016-3,PO000016,3,PRD017,150,150,4.97,accepted,Partial receipt allowed
POL000017-1,PO000017,1,PRD014,50,50,2.69,rejected,Routine replenishment
POL000018-1,PO000018,1,PRD016,800,800,3.97,accepted,Partial receipt allowed
POL000019-1,PO000019,1,PRD020,1400,1400,4.21,accepted,Inspection certificate required
POL000021-1,PO000021,1,PRD020,300,300,3.03,accepted,Inspection certificate required
POL000022-1,PO000022,1,PRD004,300,300,1.33,accepted,Partial receipt allowed
POL000024-1,PO000024,1,PRD006,25,21,1.00,accepted,Partial receipt allowed
POL000025-1,PO000025,1,PRD008,1400,1400,1.85,accepted,Routine replenishment
POL000026-1,PO000026,1,PRD018,100,100,2.24,accepted,Partial receipt allowed
POL000026-2,PO000026,2,PRD004,50,50,2.28,accepted,Inspection certificate required
POL000026-3,PO000026,3,PRD001,350,350,2.13,accepted,Expedite requested by planner
POL000027-1,PO000027,1,PRD008,50,50,1.31,accepted,Expedite requested by planner
POL000028-1,PO000028,1,PRD004,700,700,1.33,accepted,Inspection certificate required
