"document_link_id","document_id","entity_type","entity_id","relationship","extracted_excerpt","confidence"
"DL00001","DOC00001","purchase_order","PO000544","describes","Because DT0126 took Checkweigher 001 offline, maintenance sourced the substitute part through purchase order PO000544 rather than from standard stock.","0.86"
"DL00002","DOC00002","purchase_order","PO000525","describes","The replacement part needed to clear DT0170 was procured under PO000525; this MRO buy sits outside the normal order-line master.","0.99"
"DL00003","DOC00003","purchase_order","PO000301","describes","To recover from DT0087, the team expedited PO000301 for the missing component; no catalogued supplier of LED Light Bulb 4-Pack could ship in time.","0.91"
"DL00004","DOC00004","purchase_order","PO000555","describes","To recover from DT0095, the team expedited PO000555 for the missing component; no catalogued supplier of Acrylic Paint Set 12ct could ship in time.","0.93"
"DL00005","DOC00005","purchase_order","PO000480","describes","To recover from DT0157, the team expedited PO000480 for the missing component; no catalogued supplier of Liquid Laundry Detergent 2L could ship in time.","0.92"
"DL00006","DOC00006","purchase_order","PO000101","describes","To recover from DT0180, the team expedited PO000101 for the missing component; no catalogued supplier of Chicken Recipe Pet Treats 400g could ship in time.","0.95"
"DL00007","DOC00007","purchase_order","PO000188","describes","Field notes for DT0048 record that the corrective part was ordered under PO000188 as a one-off procurement.","0.81"
"DL00008","DOC00008","purchase_order","PO000333","describes","When downtime DT0202 halted output of Paper Towels 6-Roll (PRD005), the failed component had no spare on hand, so an emergency replacement was raised under purchase order PO000333.","0.90"
"DL00009","DOC00009","purchase_order","PO000477","describes","Because DT0154 took Cartoner 030 offline, maintenance sourced the substitute part through purchase order PO000477 rather than from standard stock.","0.97"
"DL00010","DOC00010","purchase_order","PO000130","describes","The replacement part needed to clear DT0197 was procured under PO000130; this MRO buy sits outside the normal order-line master.","0.89"
"DL00011","DOC00011","purchase_order","PO000434","describes","To recover from DT0206, the team expedited PO000434 for the missing component; no catalogued supplier of Arts and Crafts Storage Box could ship in time.","0.94"
"DL00012","DOC00012","purchase_order","PO000216","describes","To recover from DT0045, the team expedited PO000216 for the missing component; no catalogued supplier of Creamy Peanut Butter 510g could ship in time.","0.88"
"DL00013","DOC00013","purchase_order","PO000392","describes","An unplanned buy, PO000392, was opened specifically to supply the part that DT0017 required on Tomato Pasta Sauce 680g.","0.82"
"DL00014","DOC00014","purchase_order","PO000419","describes","Field notes for DT0165 record that the corrective part was ordered under PO000419 as a one-off procurement.","0.89"
"DL00015","DOC00015","purchase_order","PO000641","describes","Field notes for DT0111 record that the corrective part was ordered under PO000641 as a one-off procurement.","0.95"
"DL00016","DOC00016","contract","CTR00068","describes","A missed-commitment note links DT0157 to CTR00068: the outage on Metal Detector 011 delayed the contracted lot.","0.93"
"DL00017","DOC00017","contract","CTR00044","describes","Because DT0101 kept Filling Machine 010 down, the volume promised under CTR00044 could not be fulfilled on schedule.","0.89"
"DL00018","DOC00018","contract","CTR00152","describes","Because DT0085 kept Palletizer 040 down, the volume promised under CTR00152 could not be fulfilled on schedule.","0.93"
"DL00019","DOC00019","contract","CTR00108","describes","The extended stoppage DT0137 on Case Packer 020 rippled downstream: shipments under contract CTR00108 slipped and the customer's committed delivery window was missed.","0.95"
"DL00020","DOC00020","contract","CTR00151","describes","Because DT0204 kept Filling Machine 038 down, the volume promised under CTR00151 could not be fulfilled on schedule.","0.89"
