anomaly_id,equipment_id,event_time,severity,anomaly_type,description
AE001,EQ001,2026-07-05 06:30:00,high,bearing vibration,"AE001 on EQ001 (Checkweigher 001) was traced to lubricant degradation after an extended duty cycle; the technician paused the cycle, verified the physical connections, and recalibrated the control point; the reading returned within the control limit and production resumed under observation."
AE002,EQ001,2026-08-02 07:10:00,medium,temperature,"AE002 on EQ001 (Checkweigher 001) was traced to a cooling fan operating below its rated speed; the technician paused the cycle, verified the physical connections, and recalibrated the control point; the follow-up trial showed no recurrence, although a preventive inspection was added to the next shift."
AE003,EQ003,2026-07-09 03:20:00,high,sensor drift,"AE003 on EQ003 (Conveyor 003) was traced to a contaminated sensing surface that weakened the signal; the shift lead moved work to a standby asset while engineering checked the operating history; the alarm cleared during verification, with a replacement part scheduled to reduce recurrence risk."
AE004,EQ005,2026-06-06 10:00:00,low,routine alert,"AE004 on EQ005 (Filling Machine 005) was traced to a process condition that had moved outside the validated operating window; the operator isolated the affected station and maintenance inspected the signal path; the follow-up trial showed no recurrence, although a preventive inspection was added to the next shift."
AE005,EQ006,2026-06-07 10:00:00,low,routine alert,"AE005 on EQ006 (Cartoner 006) was traced to component wear detected during operator inspection; the technician paused the cycle, verified the physical connections, and recalibrated the control point; the reading returned within the control limit and production resumed under observation."
AE006,EQ007,2026-06-08 10:00:00,low,routine alert,"AE006 on EQ007 (Conveyor 007) was traced to an unstable input signal observed during the shift; maintenance reduced the load, replaced the suspect consumable, and ran a controlled trial; the follow-up trial showed no recurrence, although a preventive inspection was added to the next shift."
AE007,EQ008,2026-06-09 10:00:00,low,routine alert,AE007 on EQ008 (Conveyor 008) was traced to a process condition that had moved outside the validated operating window; the shift lead moved work to a standby asset while engineering checked the operating history; output stabilized after the intervention and the lot was released after an additional quality check.
AE008,EQ009,2026-06-10 10:00:00,low,routine alert,"AE008 on EQ009 (Filling Machine 009) was traced to component wear detected during operator inspection; the team cleaned the affected assembly, restored the standard setting, and monitored three test cycles; the reading returned within the control limit and production resumed under observation."
AE009,EQ010,2026-06-11 10:00:00,low,routine alert,"AE009 on EQ010 (Filling Machine 010) was traced to an unstable input signal observed during the shift; the operator isolated the affected station and maintenance inspected the signal path; the follow-up trial showed no recurrence, although a preventive inspection was added to the next shift."
AE010,EQ001,2026-06-12 10:00:00,low,routine alert,"AE010 on EQ001 (Checkweigher 001) was traced to a process condition that had moved outside the validated operating window; maintenance reduced the load, replaced the suspect consumable, and ran a controlled trial; the reading returned within the control limit and production resumed under observation."
AE011,EQ002,2026-06-13 10:00:00,low,routine alert,AE011 on EQ002 (Cartoner 002) was traced to component wear detected during operator inspection; the shift lead moved work to a standby asset while engineering checked the operating history; output stabilized after the intervention and the lot was released after an additional quality check.
AE012,EQ003,2026-06-14 10:00:00,low,routine alert,"AE012 on EQ003 (Conveyor 003) was traced to an unstable input signal observed during the shift; the team cleaned the affected assembly, restored the standard setting, and monitored three test cycles; the alarm cleared during verification, with a replacement part scheduled to reduce recurrence risk."
AE0013,EQ029,2025-11-12 11:29:00,medium,label vision inspection failure,"AE0013 on EQ029 (Label Applicator 029) was traced to residue on the inspection lens; the technician paused the cycle, verified the physical connections, and recalibrated the control point; the reading returned within the control limit and production resumed under observation."
AE0014,EQ006,2026-05-15 02:50:00,medium,conveyor bearing vibration,"AE0014 on EQ006 (Cartoner 006) was traced to misalignment that increased radial load; maintenance reduced the load, replaced the suspect consumable, and ran a controlled trial; the alarm cleared during verification, with a replacement part scheduled to reduce recurrence risk."
AE0015,EQ012,2024-10-16 08:56:00,high,sealing pressure loss,"AE0015 on EQ012 (Checkweigher 012) was traced to a regulator that responded slowly to load changes; the shift lead moved work to a standby asset while engineering checked the operating history; the alarm cleared during verification, with a replacement part scheduled to reduce recurrence risk."
AE0016,EQ036,2026-08-02 08:39:00,medium,packing cycle time deviation,"AE0016 on EQ036 (Cartoner 036) was traced to material feeding friction that lengthened the transfer step; the technician paused the cycle, verified the physical connections, and recalibrated the control point; the reading returned within the control limit and production resumed under observation."
AE0017,EQ019,2024-04-11 14:45:00,low,packing cycle time deviation,"AE0017 on EQ019 (Filling Machine 019) was traced to a controller timing parameter that had drifted from baseline; maintenance reduced the load, replaced the suspect consumable, and ran a controlled trial; the alarm cleared during verification, with a replacement part scheduled to reduce recurrence risk."
AE0018,EQ003,2024-12-17 07:10:00,medium,label vision inspection failure,"AE0018 on EQ003 (Conveyor 003) was traced to a fixture position shift that changed the camera angle; the technician paused the cycle, verified the physical connections, and recalibrated the control point; output stabilized after the intervention and the lot was released after an additional quality check."
AE0019,EQ025,2026-12-19 03:33:00,high,sealing pressure loss,"AE0019 on EQ025 (Filling Machine 025) was traced to a loosened fitting in the pneumatic circuit; maintenance reduced the load, replaced the suspect consumable, and ran a controlled trial; the reading returned within the control limit and production resumed under observation."
AE0020,EQ007,2024-03-02 10:03:00,low,cold-chain temperature drift,"AE0020 on EQ007 (Conveyor 007) was traced to a cooling fan operating below its rated speed; the technician paused the cycle, verified the physical connections, and recalibrated the control point; the reading returned within the control limit and production resumed under observation."
AE0021,EQ015,2025-09-16 23:04:00,low,barcode sensor dropout,"AE0021 on EQ015 (Filling Machine 015) was traced to a contaminated sensing surface that weakened the signal; the technician paused the cycle, verified the physical connections, and recalibrated the control point; the alarm cleared during verification, with a replacement part scheduled to reduce recurrence risk."
AE0022,EQ034,2026-09-18 19:07:00,low,sealing pressure loss,"AE0022 on EQ034 (Conveyor 034) was traced to a loosened fitting in the pneumatic circuit; the technician paused the cycle, verified the physical connections, and recalibrated the control point; output stabilized after the intervention and the lot was released after an additional quality check."
AE0023,EQ014,2026-07-16 09:00:00,high,conveyor bearing vibration,"AE0023 on EQ014 (Conveyor 014) was traced to misalignment that increased radial load; maintenance reduced the load, replaced the suspect consumable, and ran a controlled trial; the alarm cleared during verification, with a replacement part scheduled to reduce recurrence risk."
AE0024,EQ019,2025-11-16 15:18:00,low,cold-chain temperature drift,"AE0024 on EQ019 (Filling Machine 019) was traced to thermal drift after repeated high-load cycles; the operator isolated the affected station and maintenance inspected the signal path; the follow-up trial showed no recurrence, although a preventive inspection was added to the next shift."
AE0025,EQ034,2024-07-31 05:20:00,medium,power instability,AE0025 on EQ034 (Conveyor 034) was traced to a brief voltage sag on the shared distribution panel; the operator isolated the affected station and maintenance inspected the signal path; the reading returned within the control limit and production resumed under observation.
AE0026,EQ021,2026-05-03 20:00:00,high,cold-chain temperature drift,"AE0026 on EQ021 (Checkweigher 021) was traced to a cooling fan operating below its rated speed; maintenance reduced the load, replaced the suspect consumable, and ran a controlled trial; the reading returned within the control limit and production resumed under observation."
