customer_id,customer_name,region_id
C001,Family Household 001,R002
C002,Community Organization 002,R005
C003,Student Household 003,R001
C004,Senior Household 004,R003
C005,Family Household 005,R001
C006,Family Household 006,R003
C007,Small Business 007,R006
C008,Family Household 008,R002
C009,Small Business 009,R003
C010,Single Household 010,R002
C011,Single Household 011,R008
C012,Single Household 012,R005
C013,Small Business 013,R008
C014,Small Business 014,R004
C015,Student Household 015,R007
C016,Family Household 016,R006
C017,Student Household 017,R008
C018,Student Household 018,R005
C019,Family Household 019,R005
C020,Small Business 020,R008
C021,Senior Household 021,R001
C022,Family Household 022,R002
C023,Student Household 023,R002
C024,Single Household 024,R003
C025,Family Household 025,R002
C026,Small Business 026,R003
C027,Small Business 027,R002
C028,Student Household 028,R005
C029,Single Household 029,R005
C030,Single Household 030,R007
C031,Family Household 031,R008
C032,Small Business 032,R005
C033,Family Household 033,R005
C034,Family Household 034,R008
C035,Senior Household 035,R001
C036,Small Business 036,R006
C037,Single Household 037,R004
C038,Family Household 038,R008
C039,Family Household 039,R008
C040,Student Household 040,R006
C041,Small Business 041,R003
C042,Student Household 042,R004
C043,Community Organization 043,R008
C044,Single Household 044,R006
C045,Senior Household 045,R007
C046,Community Organization 046,R007
C047,Senior Household 047,R004
C048,Student Household 048,R002
C049,Community Organization 049,R003
C050,Family Household 050,R008
C051,Family Household 051,R007
C052,Single Household 052,R004
C053,Single Household 053,R002
C054,Senior Household 054,R005
C055,Small Business 055,R002
C056,Community Organization 056,R004
C057,Community Organization 057,R005
C058,Student Household 058,R006
C059,Student Household 059,R001
C060,Small Business 060,R005
C061,Community Organization 061,R007
C062,Single Household 062,R002
C063,Community Organization 063,R001
C064,Small Business 064,R006
C065,Community Organization 065,R006
C066,Senior Household 066,R007
C067,Community Organization 067,R002
C068,Single Household 068,R002
C069,Student Household 069,R001
C070,Community Organization 070,R006
C071,Small Business 071,R003
C072,Small Business 072,R003
C073,Community Organization 073,R006
C074,Student Household 074,R003
C075,Small Business 075,R001
C076,Student Household 076,R007
C077,Small Business 077,R003
C078,Community Organization 078,R003
C079,Student Household 079,R002
C080,Student Household 080,R005
C081,Single Household 081,R003
C082,Single Household 082,R001
C083,Community Organization 083,R006
C084,Student Household 084,R003
C085,Family Household 085,R008
C086,Family Household 086,R003
C087,Senior Household 087,R002
C088,Family Household 088,R005
C089,Student Household 089,R002
C090,Family Household 090,R008
C091,Senior Household 091,R002
C092,Senior Household 092,R004
C093,Small Business 093,R008
C094,Single Household 094,R007
C095,Family Household 095,R001
C096,Community Organization 096,R004
C097,Single Household 097,R007
C098,Senior Household 098,R006
C099,Small Business 099,R004
C100,Small Business 100,R006
C101,Student Household 101,R007
C102,Family Household 102,R007
C103,Family Household 103,R008
C104,Student Household 104,R002
C105,Single Household 105,R007
C106,Family Household 106,R006
C107,Community Organization 107,R002
C108,Community Organization 108,R002
C109,Student Household 109,R006
C110,Small Business 110,R006
C111,Senior Household 111,R008
C112,Community Organization 112,R004
C113,Family Household 113,R004
C114,Small Business 114,R008
C115,Student Household 115,R007
C116,Student Household 116,R003
C117,Student Household 117,R005
C118,Community Organization 118,R007
C119,Community Organization 119,R008
C120,Small Business 120,R001
C121,Community Organization 121,R008
C122,Senior Household 122,R004
C123,Family Household 123,R002
C124,Student Household 124,R007
C125,Senior Household 125,R005
C126,Single Household 126,R007
C127,Family Household 127,R002
C128,Senior Household 128,R004
C129,Student Household 129,R004
C130,Single Household 130,R006
C131,Student Household 131,R006
C132,Single Household 132,R005
C133,Student Household 133,R007
C134,Community Organization 134,R008
C135,Single Household 135,R004
C136,Senior Household 136,R004
C137,Student Household 137,R002
C138,Senior Household 138,R007
C139,Student Household 139,R003
C140,Small Business 140,R002
C141,Senior Household 141,R004
C142,Community Organization 142,R003
C143,Small Business 143,R005
C144,Community Organization 144,R001
C145,Small Business 145,R007
C146,Family Household 146,R003
C147,Student Household 147,R001
C148,Small Business 148,R005
C149,Senior Household 149,R005
C150,Small Business 150,R004
C151,Senior Household 151,R008
C152,Community Organization 152,R001
C153,Small Business 153,R005
C154,Small Business 154,R006
