product_id,supplier_id,is_primary,supplier_part_no,contract_unit_cost,minimum_order_qty,valid_from,valid_to
PRD001,SUP034,true,SUP034-PRD001,2.66,100,2024-01-01,2027-12-31
PRD001,SUP025,false,SUP025-PRD001,2.43,50,2024-01-01,2027-12-31
PRD001,SUP038,false,SUP038-PRD001,2.13,50,2024-01-01,2027-12-31
PRD002,SUP037,true,SUP037-PRD002,1.98,100,2024-01-01,2027-12-31
PRD002,SUP025,false,SUP025-PRD002,1.54,25,2024-01-01,2027-12-31
PRD002,SUP012,false,SUP012-PRD002,1.84,200,2024-01-01,2027-12-31
PRD003,SUP039,true,SUP039-PRD003,0.54,50,2024-01-01,2027-12-31
PRD003,SUP008,false,SUP008-PRD003,0.57,25,2024-01-01,2027-12-31
PRD004,SUP001,true,SUP001-PRD004,1.60,25,2024-01-01,2027-12-31
PRD004,SUP021,false,SUP021-PRD004,1.33,100,2024-01-01,2027-12-31
PRD004,SUP006,false,SUP006-PRD004,1.64,25,2024-01-01,2027-12-31
PRD004,SUP038,false,SUP038-PRD004,2.28,50,2024-01-01,2027-12-31
PRD005,SUP030,true,SUP030-PRD005,1.63,25,2024-01-01,2027-12-31
PRD005,SUP034,false,SUP034-PRD005,2.63,200,2024-01-01,2027-12-31
PRD005,SUP008,false,SUP008-PRD005,2.35,200,2024-01-01,2027-12-31
PRD006,SUP022,true,SUP022-PRD006,1.00,25,2024-01-01,2027-12-31
PRD006,SUP033,false,SUP033-PRD006,1.47,200,2024-01-01,2027-12-31
PRD006,SUP023,false,SUP023-PRD006,1.21,25,2024-01-01,2027-12-31
PRD007,SUP008,true,SUP008-PRD007,1.25,50,2024-01-01,2027-12-31
PRD007,SUP010,false,SUP010-PRD007,0.99,200,2024-01-01,2027-12-31
PRD008,SUP005,true,SUP005-PRD008,1.31,25,2024-01-01,2027-12-31
PRD008,SUP027,false,SUP027-PRD008,1.85,200,2024-01-01,2027-12-31
PRD009,SUP003,true,SUP003-PRD009,1.33,25,2024-01-01,2027-12-31
PRD009,SUP035,false,SUP035-PRD009,0.98,50,2024-01-01,2027-12-31
PRD009,SUP034,false,SUP034-PRD009,1.15,25,2024-01-01,2027-12-31
PRD009,SUP040,false,SUP040-PRD009,1.13,200,2024-01-01,2027-12-31
PRD010,SUP003,true,SUP003-PRD010,0.57,50,2024-01-01,2027-12-31
PRD010,SUP004,false,SUP004-PRD010,0.96,25,2024-01-01,2027-12-31
PRD010,SUP010,false,SUP010-PRD010,0.83,100,2024-01-01,2027-12-31
PRD010,SUP015,false,SUP015-PRD010,0.82,25,2024-01-01,2027-12-31
PRD011,SUP006,true,SUP006-PRD011,2.72,100,2024-01-01,2027-12-31
PRD011,SUP040,false,SUP040-PRD011,1.77,200,2024-01-01,2027-12-31
PRD011,SUP012,false,SUP012-PRD011,2.79,200,2024-01-01,2027-12-31
PRD012,SUP037,true,SUP037-PRD012,0.71,200,2024-01-01,2027-12-31
PRD012,SUP033,false,SUP033-PRD012,1.17,100,2024-01-01,2027-12-31
PRD012,SUP023,false,SUP023-PRD012,0.94,50,2024-01-01,2027-12-31
PRD012,SUP035,false,SUP035-PRD012,1.18,25,2024-01-01,2027-12-31
PRD013,SUP024,true,SUP024-PRD013,1.69,50,2024-01-01,2027-12-31
PRD013,SUP005,false,SUP005-PRD013,1.20,25,2024-01-01,2027-12-31
PRD013,SUP004,false,SUP004-PRD013,1.37,100,2024-01-01,2027-12-31
PRD013,SUP037,false,SUP037-PRD013,1.03,100,2024-01-01,2027-12-31
PRD014,SUP002,true,SUP002-PRD014,2.69,50,2024-01-01,2027-12-31
PRD014,SUP025,false,SUP025-PRD014,3.44,25,2024-01-01,2027-12-31
PRD015,SUP011,true,SUP011-PRD015,3.50,200,2024-01-01,2027-12-31
PRD015,SUP019,false,SUP019-PRD015,2.29,25,2024-01-01,2027-12-31
PRD015,SUP013,false,SUP013-PRD015,2.26,25,2024-01-01,2027-12-31
PRD015,SUP025,false,SUP025-PRD015,2.26,25,2024-01-01,2027-12-31
PRD016,SUP010,true,SUP010-PRD016,4.22,25,2024-01-01,2027-12-31
PRD016,SUP007,false,SUP007-PRD016,4.41,100,2024-01-01,2027-12-31
PRD016,SUP002,false,SUP002-PRD016,3.97,200,2024-01-01,2027-12-31
PRD017,SUP019,true,SUP019-PRD017,5.07,200,2024-01-01,2027-12-31
PRD017,SUP003,false,SUP003-PRD017,4.97,50,2024-01-01,2027-12-31
PRD017,SUP040,false,SUP040-PRD017,3.30,100,2024-01-01,2027-12-31
PRD017,SUP024,false,SUP024-PRD017,4.86,200,2024-01-01,2027-12-31
PRD018,SUP014,true,SUP014-PRD018,3.23,25,2024-01-01,2027-12-31
PRD018,SUP037,false,SUP037-PRD018,2.70,50,2024-01-01,2027-12-31
PRD018,SUP038,false,SUP038-PRD018,2.24,100,2024-01-01,2027-12-31
PRD019,SUP023,true,SUP023-PRD019,2.05,100,2024-01-01,2027-12-31
PRD019,SUP035,false,SUP035-PRD019,1.20,50,2024-01-01,2027-12-31
PRD020,SUP035,true,SUP035-PRD020,4.28,50,2024-01-01,2027-12-31
PRD020,SUP009,false,SUP009-PRD020,3.03,100,2024-01-01,2027-12-31
PRD020,SUP030,false,SUP030-PRD020,4.21,200,2024-01-01,2027-12-31
